grandvalleystate-sheet2-row05-col04,:grandvalleystate: Grand Valley State,,,
michigantech-sheet2-row05-col05,:michigantech: Michigan Tech,,,
northernmichigan-sheet2-row05-col06,:northernmichigan: Northern Michigan,,,
northwood-sheet2-row05-col07,:northwood(mi): Northwood (MI),,,
saginawvalleystate-sheet2-row05-col08,:saginawvalleystate: Saginaw Valley State,,,
waynestatemi-sheet2-row05-col09,:waynestate(mi): Wayne State (MI),,,
indianapolis-sheet2-row06-col01,:indianapolis: Indianapolis,,,
lincolnmo-sheet2-row06-col02,:lincoln(mo): Lincoln (MO),,,
mckendree-sheet2-row06-col03,:mckendree: McKendree,,,
missourisnt-sheet2-row06-col04,:missourist: Missouri S&T,,,
quincy-sheet2-row06-col05,:quincy: Quincy,,,
southwestbaptist-sheet2-row06-col06,:southwestbaptist: Southwest Baptist,,,
trumanstate-sheet2-row06-col07,:trumanstate: Truman State,,,
williamjewell-sheet2-row06-col08,:williamjewell: William Jewell,,,
azusapacific-sheet2-row07-col01,:azusapacific: Azusa Pacific,,,
centralwashington-sheet2-row07-col02,:centralwashington: Central Washington,,,
humboldtstate-sheet2-row07-col03,:humboldtstate: Humboldt State,,,
simonfraser-sheet2-row07-col04,:simonfraser: Simon Fraser,,,
westernoregon-sheet2-row07-col05,:westernoregon: Western Oregon,,,
deltastate-sheet2-row08-col01,:deltastate: Delta State,,,
floridatech-sheet2-row08-col02,:floridatech: Florida Tech,,,
mississippicollege-sheet2-row08-col03,:mississippicollege: Mississippi College,,,
northgreenville-sheet2-row08-col04,:northgreenville: North Greenville,,,
shorter-sheet2-row08-col05,:shorter: Shorter,,,
valdostastate-sheet2-row08-col06,:valdostastate: Valdosta State,,,
westalabama-sheet2-row08-col07,:westalabama: West Alabama,,,
uwf-sheet2-row08-col08,:westflorida: West Florida,,,
westgeorgia-sheet2-row08-col09,:westgeorgia: West Georgia,,,
angelostate-sheet2-row09-col01,:angelostate: Angelo State,,,
easternnewmexico-sheet2-row09-col02,:easternnewmexico: Eastern New Mexico,,,
midwesternstate-sheet2-row09-col03,:midwesternstate: Midwestern State,,,
tarletonstate-sheet2-row09-col04,:tarletonstate: Tarleton State,,,
texasamcommerce-sheet2-row09-col05,:texasamcommerce: Texas A&M-Commerce,,,
texasamkingsville-sheet2-row09-col06,:texasamkingsville: Texas A&M-Kingsville,,,
utpb-sheet2-row09-col07,:texaspermianbasin: Texas-Permian Basin,,,
westtexasam-sheet2-row09-col08,:westtexasam: West Texas A&M,,,
westernnewmexico-sheet2-row09-col09,:westernnewmexico: Western New Mexico,,,
charleston-sheet2-row10-col01,:charleston(wv): Charleston (WV),,,
concord-sheet2-row10-col02,:concord: Concord,,,
fairmontstate-sheet2-row10-col03,:fairmontstate: Fairmont State,,,
glenvillestate-sheet2-row10-col04,:glenvillestate: Glenville State,,,
notredameoh-sheet2-row10-col05,:notredame(oh): Notre Dame (OH),,,
shepherd-sheet2-row10-col06,:shepherd: Shepherd,,,
urbana-sheet2-row10-col07,:urbana: Urbana,,,
virginiawise-sheet2-row10-col08,:virginiawise: Virginia-Wise,,,
westliberty-sheet2-row10-col09,:westliberty: West Liberty,,,
westvirginiastate-sheet2-row10-col10,:westvirginiastate: West Virginia State,,,
westvirginiawesleyan-sheet2-row10-col11,:westvirginiawesleyan: West Virginia Wesleyan,,,
wheelingjesuit-sheet2-row10-col12,:wheelingjesuit: Wheeling Jesuit,,,
centralmissouri-sheet2-row11-col01,:centralmissouri: Central Missouri,,,
centraloklahoma-sheet2-row11-col02,:centraloklahoma: Central Oklahoma,,,
emporiastate-sheet2-row11-col03,:emporiastate: Emporia State,,,
forthaysstate-sheet2-row11-col04,:forthaysstate: Fort Hays State,,,
lindenwood-sheet2-row11-col05,:lindenwood: Lindenwood,,,
missourisouthern-sheet2-row11-col06,:missourisouthern: Missouri Southern,,,
missouriwestern-sheet2-row11-col07,:missouriwestern: Missouri Western,,,
nebraskakearney-sheet2-row11-col08,:nebraskakearney: Nebraska-Kearney,,,
northeasternstate-sheet2-row11-col09,:northeasternstate: Northeastern State,,,
northwestmissouristate-sheet2-row11-col10,:northwestmissouristate: Northwest Missouri State,,,
pittsburgstate-sheet2-row11-col11,:pittsburgstate: Pittsburg State,,,
washburn-sheet2-row11-col12,:washburn: Washburn,,,
americaninternational-sheet2-row12-col01,:americaninternational: American International,,,
assumption-sheet2-row12-col02,:assumption: Assumption,,,
bentley-sheet2-row12-col03,:bently: Bently,,,
franklinpierce-sheet2-row12-col04,:franklinpierce: Franklin Pierce,,,
newhaven-sheet2-row12-col07,:newhaven: New Haven,,,
pace-sheet2-row12-col08,:pace: Pace,,,
southernconnecticutstate-sheet2-row12-col09,:southernconnecticut: Southern Connecticut,,,
stanselm-sheet2-row12-col10,:st.anselm: St. Anselm,,,
stonehill-sheet2-row12-col11,:stonehill: Stonehill,,,
augustanasd-sheet2-row13-col01,:augustana(sd): Augustana (SD),,,
bemidjistate-sheet2-row13-col02,:bemidjistate: Bemidji State,,,
